"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
BodyPart,101794,cara,101794,NCFS000,101794,"Fuente_Virginia_ES.eaf"
BodyPart,103282,mano,103282,NCFP000,103282,"Fuente_Virginia_ES.eaf"
Time,104274,después,104274,RG,104274,"Fuente_Virginia_ES.eaf"
Touching,104770,acariciar,104770,VMIP3S0,104770,"Fuente_Virginia_ES.eaf"
Location,105762,arena,105762,NCFS000,105762,"Fuente_Virginia_ES.eaf"
BodyMotion,106258,hundir,106258,VMG0000,106258,"Fuente_Virginia_ES.eaf"
BodyPart,107250,yema,107250,NCFP000,107250,"Fuente_Virginia_ES.eaf"
BodyPart,108738,dedo,108738,NCMP000,108738,"Fuente_Virginia_ES.eaf"
A-StateOfMind,142053,nervioso,142053,AQ0MS0,142053,"Fuente_Virginia_ES.eaf"
Seeing,142597,mirar,142597,VMIP3S0,142597,"Fuente_Virginia_ES.eaf"
A-StateOfMind,142869,extrañar,142869,VMP00SM,142869,"Fuente_Virginia_ES.eaf"
Location,143685,lado,143685,NCMP000,143685,"Fuente_Virginia_ES.eaf"
BodyMotion,160361,levantar,160361,VMIP3S0,160361,"Fuente_Virginia_ES.eaf"
Walking,161921,caminar,161921,VMIP3S0,161921,"Fuente_Virginia_ES.eaf"
BodyMotion,163481,meter,163481,VMN0000,163481,"Fuente_Virginia_ES.eaf"
BodyPart,165041,pie,165041,NCMP000,165041,"Fuente_Virginia_ES.eaf"
Location,167381,orilla,167381,NCFS000,167381,"Fuente_Virginia_ES.eaf"
Time,169891,después,169891,RG,169891,"Fuente_Virginia_ES.eaf"
Motion,171101,alejar,171101,VMIP3S0,171101,"Fuente_Virginia_ES.eaf"
-,172916,agua,172916,NCCS000,172916,"Fuente_Virginia_ES.eaf"
-,174126,rumbo,174126,NCMS000,174126,"Fuente_Virginia_ES.eaf"
Seeing,175336,mirar,175336,VMG0000,175336,"Fuente_Virginia_ES.eaf"
Location,177151,lado,177151,NCMP000,177151,"Fuente_Virginia_ES.eaf"
Walking,180468,caminar,180468,VMIP3S0,180468,"Fuente_Virginia_ES.eaf"
Location,181440,atrás,181440,RG,181440,"Fuente_Virginia_ES.eaf"
BodyMotion,182412,girar,182412,VMG0000,182412,"Fuente_Virginia_ES.eaf"
-,183870,mismo,183870,AQ0MS0,183870,"Fuente_Virginia_ES.eaf"
Seeing,184842,mirar,184842,VMG0000,184842,"Fuente_Virginia_ES.eaf"
Location,186300,lado,186300,NCMP000,186300,"Fuente_Virginia_ES.eaf"
IntentionalPsychologicalProcess,187758,buscar,187758,VMSI3S0,187758,"Fuente_Virginia_ES.eaf"
Aux,191234,volver,191234,VMIP3S0,191234,"Fuente_Virginia_ES.eaf"
Motion,191722,acercar,191722,VMN0000,191722,"Fuente_Virginia_ES.eaf"
Location,192698,orilla,192698,NCFS000,192698,"Fuente_Virginia_ES.eaf"
Motion,193430,adentrar,193430,VMIP3S0,193430,"Fuente_Virginia_ES.eaf"
-,194650,agua,194650,NCCS000,194650,"Fuente_Virginia_ES.eaf"
Aux,198190,volver,198190,VMIP3S0,198190,"Fuente_Virginia_ES.eaf"
Motion,199246,alejar,199246,VMN0000,199246,"Fuente_Virginia_ES.eaf"
-,201358,marea,201358,NCFS000,201358,"Fuente_Virginia_ES.eaf"
IntentionalPsychologicalProcess,201886,buscar,201886,VMG0000,201886,"Fuente_Virginia_ES.eaf"
Location,203998,alrededor,203998,NCMS000,203998,"Fuente_Virginia_ES.eaf"
Motion,208178,llegar,208178,VMIP3S0,208178,"Fuente_Virginia_ES.eaf"
Location,209657,cosa,209657,NCFP000,209657,"Fuente_Virginia_ES.eaf"
Aux,210643,comenzar,210643,VMIP3S0,210643,"Fuente_Virginia_ES.eaf"
Dressing,211629,poner,211629,VMN0000,211629,"Fuente_Virginia_ES.eaf"
Clothing,213108,camisa,213108,NCFS000,213108,"Fuente_Virginia_ES.eaf"
-,218993,más,218993,RG,218993,"Fuente_Virginia_ES.eaf"
Time,219393,tarde,219393,RG,219393,"Fuente_Virginia_ES.eaf"
Location,220993,calle,220993,NCFS000,220993,"Fuente_Virginia_ES.eaf"
A-PositionalAttribute,221793,rodear,221793,VMP00SM,221793,"Fuente_Virginia_ES.eaf"
Vegetable,222593,árbol,222593,NCMP000,222593,"Fuente_Virginia_ES.eaf"
Walking,223793,caminar,223793,VMIP3S0,223793,"Fuente_Virginia_ES.eaf"
A-SubjectiveAssessmentAttribute,224593,bueno,224593,AQ0MS0,224593,"Fuente_Virginia_ES.eaf"
-,224993,ritmo,224993,NCMS000,224993,"Fuente_Virginia_ES.eaf"
A-Time,227106,pasar,227106,VMP00SM,227106,"Fuente_Virginia_ES.eaf"
Time,227966,rato,227966,NCMS000,227966,"Fuente_Virginia_ES.eaf"
Aux,228826,estar,228826,VAIP3S0,228826,"Fuente_Virginia_ES.eaf"
Walking,229256,subir,229256,VMG0000,229256,"Fuente_Virginia_ES.eaf"
Location,230546,monte,230546,NCMS000,230546,"Fuente_Virginia_ES.eaf"
A-SubjectiveAssessmentAttribute,230976,polvoriento,230976,AQ0MS0,230976,"Fuente_Virginia_ES.eaf"
A-PositionalAttribute,231406,salpicar,231406,VMP00SM,231406,"Fuente_Virginia_ES.eaf"
Vegetable,232266,arbusto,232266,NCMP000,232266,"Fuente_Virginia_ES.eaf"
Location,234381,lugar,234381,NCMS000,234381,"Fuente_Virginia_ES.eaf"
BodyPart,235152,mano,235152,NCFP000,235152,"Fuente_Virginia_ES.eaf"
A-SubjectiveAssessmentAttribute,235409,ajar,235409,VMP00PF,235409,"Fuente_Virginia_ES.eaf"
Touching,235666,sostener,235666,VMIP3P0,235666,"Fuente_Virginia_ES.eaf"
-,236180,café,236180,NCMS000,236180,"Fuente_Virginia_ES.eaf"
Putting,236694,llevar,236694,VMN0000,236694,"Fuente_Virginia_ES.eaf"
Human,237643,hombre,237643,NCMS000,237643,"Fuente_Virginia_ES.eaf"
-,237950,no,237950,RN,237950,"Fuente_Virginia_ES.eaf"
Quantifier,238257,demasiado,238257,RG,238257,"Fuente_Virginia_ES.eaf"
