"Annotation1-1","BeginTime","Annotation2-1","BeginTime","Annotation3-1","BeginTime","TranscriptionName"
Gesture,330116,fruncir_el_ceño,330116,VMIP3S0,330116,"Aptent-ES.eaf"
Seeing,331108,alzar_la_mirada,331108,VMIP3S0,331108,"Aptent-ES.eaf"
A-StateOfMind,336060,extrañar,336060,VMP00SM,336060,"Aptent-ES.eaf"
BodyMotion,351940,mover,351940,VMIP3S0,351940,"Aptent-ES.eaf"
BodyPart,352500,mano,352500,NCFS000,352500,"Aptent-ES.eaf"
Aux,352780,intentar,352780,VMG0000,352780,"Aptent-ES.eaf"
Communication,353060,explicar,353060,VMN0000,353060,"Aptent-ES.eaf"
Aux,380100,volver,380100,VMIP3S0,380100,"Aptent-ES.eaf"
Seeing,380932,alzar_la_mirada,380932,VMN0000,380932,"Aptent-ES.eaf"
A-StateOfMind,381348,extrañar,381348,VMP00SM,381348,"Aptent-ES.eaf"
BodyMotion,387020,esbozar,387020,VMIP3S0,387020,"Aptent-ES.eaf"
A-SubjectiveAssessmentAttribute,387724,pequeño,387724,AQ0FS0,387724,"Aptent-ES.eaf"
BodyPart,388076,sonrisa,388076,NCFS000,388076,"Aptent-ES.eaf"
Object,398473,vaso,398473,NCMS000,398473,"Aptent-ES.eaf"
-,399059,plástico,399059,NCMS000,399059,"Aptent-ES.eaf"
located,399352,reposar,399352,VMIP3S0,399352,"Aptent-ES.eaf"
Object,400231,banco,400231,NCMS000,400231,"Aptent-ES.eaf"
Object,401110,tapa,401110,NCFS000,401110,"Aptent-ES.eaf"
A-PositionalAttribute,401403,poner,401403,VMP00SF,401403,"Aptent-ES.eaf"
Motion,402575,alejar,402575,VMIP3S0,402575,"Aptent-ES.eaf"
Seeing,402868,mirar,402868,VMG0000,402868,"Aptent-ES.eaf"
A-StateOfMind,403161,inquieto,403161,AQ0MS0,403161,"Aptent-ES.eaf"
Location,404040,dirección,404040,NCFP000,404040,"Aptent-ES.eaf"
Motion,404919,adentrar,404919,VMIP3S0,404919,"Aptent-ES.eaf"
Location,405798,sendero,405798,NCMS000,405798,"Aptent-ES.eaf"
Human,406677,joven,406677,NCCS000,406677,"Aptent-ES.eaf"
A-ColorAttribute,406970,pelirrojo,406970,AQ0FS0,406970,"Aptent-ES.eaf"
BodyPart,407556,rizo,407556,NCMP000,407556,"Aptent-ES.eaf"
Aux,407849,estar,407849,VSIP3S0,407849,"Aptent-ES.eaf"
A-PositionalAttribute,408142,sentar,408142,VMP00SF,408142,"Aptent-ES.eaf"
Object,409021,ordenador,409021,NCMS000,409021,"Aptent-ES.eaf"
A-SubjectiveAssessmentAttribute,409314,portátil,409314,AQ0CS0,409314,"Aptent-ES.eaf"
A-PositionalAttribute,409607,rodear,409607,VMP00SF,409607,"Aptent-ES.eaf"
Object,410193,apunte,410193,NCMP000,410193,"Aptent-ES.eaf"
Process,410779,morder,410779,VMIP3S0,410779,"Aptent-ES.eaf"
Object,411365,lápiz,411365,NCMS000,411365,"Aptent-ES.eaf"
StateOfMind,411951,hastío,411951,NCMS000,411951,"Aptent-ES.eaf"
